issue,market,selection,probability,odds,stake,estimated_edge,confidence_label,status,actual_number,payout,profit,created_at,resolved_at
202609252099,size,Lớn,0.5502597008334712,1.979,50000.0,0.08896394794943951,EXPERIMENTAL,WIN,8,98950.0,48950.0,2026-09-25T17:29:23+07:00,2026-09-25T17:29:53+07:00
202609252101,size,Lớn,0.5740329289095892,1.979,50000.0,0.1360111663120771,EXPERIMENTAL,LOSS,2,0.0,-50000.0,2026-09-25T17:30:23+07:00,2026-09-25T17:30:53+07:00
202609252104,size,Lớn,0.554565330957241,1.979,50000.0,0.09748478996438004,EXPERIMENTAL,WIN,8,98950.0,48950.0,2026-09-25T17:31:53+07:00,2026-09-25T17:32:23+07:00
202609252152,size,Nhỏ,0.5549932250692001,1.979,50000.0,0.098331592411947,LOW,LOSS,8,0.0,-50000.0,2026-09-25T17:55:53+07:00,2026-09-25T17:56:23+07:00
202609252156,size,Nhỏ,0.5618434113597431,1.979,50000.0,0.11188811108093177,LOW,LOSS,5,0.0,-50000.0,2026-09-25T17:57:53+07:00,2026-09-25T17:58:23+07:00
202609252392,size,Nhỏ,0.5582716000298246,1.979,50000.0,0.10481949645902278,LOW,WIN,0,98950.0,48950.0,2026-09-25T19:55:53+07:00,2026-09-25T19:56:23+07:00
202609252395,size,Nhỏ,0.5613988925433565,1.979,50000.0,0.1110084083433025,LOW,LOSS,7,0.0,-50000.0,2026-09-25T19:57:23+07:00,2026-09-25T19:57:53+07:00
202609252400,size,Lớn,0.5626335075308176,1.979,50000.0,0.11345171140348809,LOW,WIN,6,98950.0,48950.0,2026-09-25T19:59:56+07:00,2026-09-25T20:00:23+07:00
202609252403,size,Nhỏ,0.5634250946010234,1.979,50000.0,0.11501826221542544,LOW,WIN,0,98950.0,48950.0,2026-09-25T20:01:26+07:00,2026-09-25T20:01:53+07:00
202609252416,size,Nhỏ,0.5595771443546455,1.979,50000.0,0.10740316867784339,LOW,LOSS,7,0.0,-50000.0,2026-09-25T20:07:56+07:00,2026-09-25T20:08:23+07:00
