issue,strategy,step_index,unit_multiplier,selected_numbers_json,stake_per_number,total_stake,odds,hit_probability,estimated_roi,status,actual_number,payout,profit,bankroll_before,bankroll_after,session_profit_after,created_at,resolved_at
202609252727,flat,0,1.0,"[6, 3, 7, 0, 8, 4, 9]",3000.0,21000.0,9.895,0.7422272727272727,0.049191266233766254,LOSS,5,0.0,-21000.0,525000.0,504000.0,-21000.0,2026-09-25T22:43:24+07:00,2026-09-25T22:43:53+07:00
202609252727,1123,0,1.0,"[6, 3, 7, 0, 8, 4, 9]",3000.0,21000.0,9.895,0.7422272727272727,0.049191266233766254,LOSS,5,0.0,-21000.0,525000.0,504000.0,-21000.0,2026-09-25T22:43:24+07:00,2026-09-25T22:43:53+07:00
202609252727,1326,0,1.0,"[6, 3, 7, 0, 8, 4, 9]",3000.0,21000.0,9.895,0.7422272727272727,0.049191266233766254,LOSS,5,0.0,-21000.0,525000.0,504000.0,-21000.0,2026-09-25T22:43:24+07:00,2026-09-25T22:43:53+07:00
202609252732,flat,0,1.0,"[3, 6, 0, 7, 9, 1, 4]",3000.0,21000.0,9.895,0.737637888364196,0.042703843623388416,WIN,3,29685.0,8685.0,504000.0,512685.0,-12315.0,2026-09-25T22:45:53+07:00,2026-09-25T22:46:23+07:00
202609252732,1123,0,1.0,"[3, 6, 0, 7, 9, 1, 4]",3000.0,21000.0,9.895,0.737637888364196,0.042703843623388416,WIN,3,29685.0,8685.0,504000.0,512685.0,-12315.0,2026-09-25T22:45:53+07:00,2026-09-25T22:46:23+07:00
202609252732,1326,0,1.0,"[3, 6, 0, 7, 9, 1, 4]",3000.0,21000.0,9.895,0.737637888364196,0.042703843623388416,WIN,3,29685.0,8685.0,504000.0,512685.0,-12315.0,2026-09-25T22:45:53+07:00,2026-09-25T22:46:23+07:00
202609252739,flat,0,1.0,"[3, 9, 6, 0, 1, 8, 7]",3000.0,21000.0,9.895,0.7224424573604902,0.021224016511721393,LOSS,5,0.0,-21000.0,512685.0,491685.0,-33315.0,2026-09-25T22:49:23+07:00,2026-09-25T22:49:53+07:00
202609252739,1123,1,1.0,"[3, 9, 6, 0, 1, 8, 7]",3000.0,21000.0,9.895,0.7224424573604902,0.021224016511721393,LOSS,5,0.0,-21000.0,512685.0,491685.0,-33315.0,2026-09-25T22:49:23+07:00,2026-09-25T22:49:53+07:00
202609252739,1326,1,3.0,"[3, 9, 6, 0, 1, 8, 7]",9000.0,63000.0,9.895,0.7224424573604902,0.021224016511721393,LOSS,5,0.0,-63000.0,512685.0,449685.0,-75315.0,2026-09-25T22:49:23+07:00,2026-09-25T22:49:53+07:00
202609252743,flat,0,1.0,"[3, 6, 9, 0, 8, 5, 1]",3000.0,21000.0,9.895,0.7273463226429568,0.02815598036457967,WIN,8,29685.0,8685.0,491685.0,500370.0,-24630.0,2026-09-25T22:51:23+07:00,2026-09-25T22:51:53+07:00
202609252743,1123,0,1.0,"[3, 6, 9, 0, 8, 5, 1]",3000.0,21000.0,9.895,0.7273463226429568,0.02815598036457967,WIN,8,29685.0,8685.0,491685.0,500370.0,-24630.0,2026-09-25T22:51:23+07:00,2026-09-25T22:51:53+07:00
202609252743,1326,0,1.0,"[3, 6, 9, 0, 8, 5, 1]",3000.0,21000.0,9.895,0.7273463226429568,0.02815598036457967,WIN,8,29685.0,8685.0,449685.0,458370.0,-66630.0,2026-09-25T22:51:23+07:00,2026-09-25T22:51:53+07:00
202609252747,flat,0,1.0,"[8, 5, 3, 6, 7, 4, 0]",3000.0,21000.0,9.895,0.7267279780716418,0.02728190614555651,WIN,8,29685.0,8685.0,500370.0,509055.0,-15945.0,2026-09-25T22:53:23+07:00,2026-09-25T22:53:53+07:00
202609252747,1123,1,1.0,"[8, 5, 3, 6, 7, 4, 0]",3000.0,21000.0,9.895,0.7267279780716418,0.02728190614555651,WIN,8,29685.0,8685.0,500370.0,509055.0,-15945.0,2026-09-25T22:53:23+07:00,2026-09-25T22:53:53+07:00
202609252747,1326,1,3.0,"[8, 5, 3, 6, 7, 4, 0]",9000.0,63000.0,9.895,0.7267279780716418,0.02728190614555651,WIN,8,89055.0,26055.0,458370.0,484425.0,-40575.0,2026-09-25T22:53:23+07:00,2026-09-25T22:53:53+07:00
202609252751,flat,0,1.0,"[3, 9, 8, 6, 5, 0, 7]",3000.0,21000.0,9.895,0.754301572862924,0.0662591519255189,WIN,0,29685.0,8685.0,509055.0,517740.0,-7260.0,2026-09-25T22:55:23+07:00,2026-09-25T22:55:53+07:00
202609252751,1123,2,2.0,"[3, 9, 8, 6, 5, 0, 7]",6000.0,42000.0,9.895,0.754301572862924,0.0662591519255189,WIN,0,59370.0,17370.0,509055.0,526425.0,1425.0,2026-09-25T22:55:23+07:00,2026-09-25T22:55:53+07:00
202609252751,1326,2,2.0,"[3, 9, 8, 6, 5, 0, 7]",6000.0,42000.0,9.895,0.754301572862924,0.0662591519255189,WIN,0,59370.0,17370.0,484425.0,501795.0,-23205.0,2026-09-25T22:55:23+07:00,2026-09-25T22:55:53+07:00
202609252755,flat,0,1.0,"[3, 9, 0, 6, 8, 5, 7]",3000.0,21000.0,9.895,0.7899928818232645,0.11671136652017175,WIN,7,29685.0,8685.0,517740.0,526425.0,1425.0,2026-09-25T22:57:23+07:00,2026-09-25T22:57:53+07:00
202609252755,1123,3,3.0,"[3, 9, 0, 6, 8, 5, 7]",9000.0,63000.0,9.895,0.7899928818232645,0.11671136652017175,WIN,7,89055.0,26055.0,526425.0,552480.0,27480.0,2026-09-25T22:57:23+07:00,2026-09-25T22:57:53+07:00
202609252755,1326,3,6.0,"[3, 9, 0, 6, 8, 5, 7]",18000.0,126000.0,9.895,0.7899928818232645,0.11671136652017175,WIN,7,178110.0,52110.0,501795.0,553905.0,28905.0,2026-09-25T22:57:23+07:00,2026-09-25T22:57:53+07:00
202609252756,flat,0,1.0,"[3, 6, 8, 9, 0, 7, 5]",3000.0,21000.0,9.895,0.7801859333351358,0.10284854433588109,WIN,7,29685.0,8685.0,526425.0,535110.0,10110.0,2026-09-25T22:57:53+07:00,2026-09-25T22:58:23+07:00
202609252756,1123,0,1.0,"[3, 6, 8, 9, 0, 7, 5]",3000.0,21000.0,9.895,0.7801859333351358,0.10284854433588109,WIN,7,29685.0,8685.0,552480.0,561165.0,36165.0,2026-09-25T22:57:53+07:00,2026-09-25T22:58:23+07:00
202609252756,1326,0,1.0,"[3, 6, 8, 9, 0, 7, 5]",3000.0,21000.0,9.895,0.7801859333351358,0.10284854433588109,WIN,7,29685.0,8685.0,553905.0,562590.0,37590.0,2026-09-25T22:57:53+07:00,2026-09-25T22:58:23+07:00
202609252757,flat,0,1.0,"[7, 3, 6, 8, 9, 0, 5]",3000.0,21000.0,9.895,0.8125151240209629,0.1485481645982039,WIN,3,29685.0,8685.0,535110.0,543795.0,18795.0,2026-09-25T22:58:23+07:00,2026-09-25T22:58:53+07:00
202609252757,1123,1,1.0,"[7, 3, 6, 8, 9, 0, 5]",3000.0,21000.0,9.895,0.8125151240209629,0.1485481645982039,WIN,3,29685.0,8685.0,561165.0,569850.0,44850.0,2026-09-25T22:58:23+07:00,2026-09-25T22:58:53+07:00
202609252757,1326,1,3.0,"[7, 3, 6, 8, 9, 0, 5]",9000.0,63000.0,9.895,0.8125151240209629,0.1485481645982039,WIN,3,89055.0,26055.0,562590.0,588645.0,63645.0,2026-09-25T22:58:23+07:00,2026-09-25T22:58:53+07:00
202609252765,flat,0,1.0,"[3, 8, 7, 6, 9, 0, 5]",3000.0,21000.0,9.895,0.7458015712635673,0.05424379252185688,LOSS,4,0.0,-21000.0,543795.0,522795.0,-2205.0,2026-09-25T23:02:23+07:00,2026-09-25T23:02:53+07:00
202609252765,1123,2,2.0,"[3, 8, 7, 6, 9, 0, 5]",6000.0,42000.0,9.895,0.7458015712635673,0.05424379252185688,LOSS,4,0.0,-42000.0,569850.0,527850.0,2850.0,2026-09-25T23:02:23+07:00,2026-09-25T23:02:53+07:00
202609252765,1326,2,2.0,"[3, 8, 7, 6, 9, 0, 5]",6000.0,42000.0,9.895,0.7458015712635673,0.05424379252185688,LOSS,4,0.0,-42000.0,588645.0,546645.0,21645.0,2026-09-25T23:02:23+07:00,2026-09-25T23:02:53+07:00
202609260086,flat,0,1.0,"[9, 3, 7, 5, 1, 2, 8]",3000.0,21000.0,9.895,0.7246853519388874,0.024394508205041503,WIN,5,29685.0,8685.0,522795.0,531480.0,6480.0,2026-09-26T00:42:56+07:00,2026-09-26T00:43:24+07:00
202609260086,1123,0,1.0,"[9, 3, 7, 5, 1, 2, 8]",3000.0,21000.0,9.895,0.7246853519388874,0.024394508205041503,WIN,5,29685.0,8685.0,527850.0,536535.0,11535.0,2026-09-26T00:42:56+07:00,2026-09-26T00:43:24+07:00
202609260086,1326,0,1.0,"[9, 3, 7, 5, 1, 2, 8]",3000.0,21000.0,9.895,0.7246853519388874,0.024394508205041503,WIN,5,29685.0,8685.0,546645.0,555330.0,30330.0,2026-09-26T00:42:56+07:00,2026-09-26T00:43:24+07:00
202609260087,flat,0,1.0,"[9, 8, 3, 5, 7, 4, 1]",3000.0,21000.0,9.895,0.7293079490192608,0.030928879363654942,WIN,7,29685.0,8685.0,531480.0,540165.0,15165.0,2026-09-26T00:43:27+07:00,2026-09-26T00:43:53+07:00
202609260087,1123,1,1.0,"[9, 8, 3, 5, 7, 4, 1]",3000.0,21000.0,9.895,0.7293079490192608,0.030928879363654942,WIN,7,29685.0,8685.0,536535.0,545220.0,20220.0,2026-09-26T00:43:27+07:00,2026-09-26T00:43:53+07:00
202609260087,1326,1,3.0,"[9, 8, 3, 5, 7, 4, 1]",9000.0,63000.0,9.895,0.7293079490192608,0.030928879363654942,WIN,7,89055.0,26055.0,555330.0,581385.0,56385.0,2026-09-26T00:43:27+07:00,2026-09-26T00:43:53+07:00
